height,width,source,ypos,xpos,node_opacity,node_colour
4976,0,group0,0,0,40,blue
758,0,group1,85.71428571,0,40,dark blue
657,3.461249,group2,88.0952381,22,100,grey
283.5,0,group20,0,26,0,white
283.5,0,group21,94.04761905,25,100,dark grey
1129,1.823276,group3,50.47619048,21.9,100,209 18 66
216,0,group30,0,31.9,0,white
216,0,group31,65.23809524,23.2,100,dark grey
3199,2.263504,group4,16.66666667,39,100,101 45 137
870,0,group40,0,43,0,white
870,0,group41,32.14285714,40.75,100,dark grey
1339,2.903667,group5,46.19047619,59,100,28 63 148
407.5,0,group50,0,62.9,0,white
407.5,0,group51,58.0952381,61.75,100,dark grey
1568,0.4829002,group6,14.52380952,70.8,100,220 236 182
46.5,0,group60,0,72,0,white
46.5,0,group61,14.76190476,71.2,100,dark grey
1471,3.114467,group7,11.30952381,80,100,141 198 63
471,0,group70,0,83.8,0,white
471,0,group71,26.42857143,83,100,dark grey
477,1.69263,group8,5.023809524,93.5,100,242 101 49
227.5,0,group80,0,95,0,white
227.5,0,group81,5.476190476,95,100,dark grey
690,0,group9,82.38095238,95,100,black
